name,abbrev,fips
Alabama,AL,1
Alaska,AK,2
American Samoa,AS,60
American Samoa *,,3
Arizona,AZ,4
Arkansas,AR,5
Baker Island,,81
California,CA,6
Canal Zone *,,7
Colorado,CO,8
Connecticut,CT,9
Delaware,DE,10
District of Columbia,DC,11
Florida,FL,12
Federated States of Micronesia,FM,64
Georgia,GA,13
Guam *,,14
Guam,GU,66
Hawaii,HI,15
Howland Island,,84
Idaho,ID,16
Illinois,IL,17
Indiana,IN,18
Iowa,IA,19
Jarvis Island,,86
Johnston Atoll,,67
Kansas,KS,20
Kentucky,KY,21
Kingman Reef,,89
Louisiana,LA,22
Maine,ME,23
Marshall Islands,MH,68
Maryland,MD,24
Massachusetts,MA,25
Michigan,MI,26
Midway Islands,,71
Minnesota,MN,27
Mississippi,MS,28
Missouri,MO,29
Montana,MT,30
Navassa Island,,76
Nebraska,NE,31
Nevada,NV,32
New Hampshire,NH,33
New Jersey,NJ,34
New Mexico,NM,35
New York,NY,36
North Carolina,NC,37
North Dakota,ND,38
Northern Mariana Islands,MP,69
Ohio,OH,39
Oklahoma,OK,40
Oregon,OR,41
Palau,PW,70
Palmyra Atoll,,95
Pennsylvania,PA,42
Puerto Rico *,,43
Puerto Rico,PR,72
Rhode Island,RI,44
South Carolina,SC,45
South Dakota,SD,46
Tennessee,TN,47
Texas,TX,48
U.S. Minor Outlying Islands,UM,74
Utah,UT,49
Vermont,VT,50
Virginia,VA,51
Virgin Islands of the U.S. *,,52
Virgin Islands of the U.S.,VI,78
Wake Island,,79
Washington,WA,53
West Virginia,WV,54
Wisconsin,WI,55
Wyoming,WY,56
